mass,z,fov,mlt,age,log_k,teff,lum
11.6,0.03,0.03,2.8,12056950.0,-2.408379,24981.452265,18058.67
11.6,0.03,0.03,2.8,12284900.0,-2.419495,24858.889065,18357.52
11.6,0.03,0.03,3.0,11602200.0,-2.387723,25139.996528,17472.61
11.6,0.03,0.03,3.0,11836290.0,-2.398434,25023.830292,17758.01
11.6,0.03,0.03,3.0,12064090.0,-2.409225,24903.84363,18045.48
11.8,0.01,0.01,1.4,14367120.0,-2.356749,24807.465218,17224.25
11.8,0.01,0.01,1.6,14355910.0,-2.35625,24821.797167,17214.55
11.8,0.01,0.015,1.0,14316260.0,-2.352775,25131.821399,17270.42
11.8,0.01,0.015,1.0,14505430.0,-2.360999,25011.356616,17483.31
11.8,0.01,0.015,1.0,14690180.0,-2.369269,24888.363071,17697.24
11.8,0.01,0.015,1.2,14363340.0,-2.354616,25111.160149,17324.93
11.8,0.01,0.015,1.2,14551620.0,-2.362854,24990.581911,17538.55
11.8,0.01,0.015,1.2,14735610.0,-2.371146,24867.014538,17753.16
11.8,0.01,0.015,1.4,14351900.0,-2.354076,25124.679141,17314.84
11.8,0.01,0.015,1.4,14540700.0,-2.36232,25004.439406,17528.83
11.8,0.01,0.015,1.4,14725330.0,-2.370623,24881.019733,17743.95
11.8,0.01,0.015,1.6,14345280.0,-2.353807,25135.897621,17310.3
11.8,0.01,0.015,1.6,14534960.0,-2.362076,25015.41792,17525.06
11.8,0.01,0.015,1.6,14720210.0,-2.370393,24891.826369,17740.57
11.8,0.01,0.015,1.8,14414630.0,-2.35683,25097.124724,17391.33
11.8,0.01,0.015,1.8,14602970.0,-2.365125,24975.673381,17606.83
11.8,0.01,0.015,1.8,14786980.0,-2.373469,24851.026257,17823.08
11.8,0.01,0.015,2.0,14309130.0,-2.352239,25172.039,17275.15
11.8,0.01,0.015,2.0,14500270.0,-2.360524,25052.473909,17490.99
11.8,0.01,0.015,2.0,14686970.0,-2.368851,24929.929837,17707.5
11.8,0.01,0.015,2.0,14869530.0,-2.377232,24804.049077,17924.81
11.8,0.01,0.015,2.2,14328680.0,-2.353014,25165.128621,17298.93
11.8,0.01,0.015,2.2,14519650.0,-2.361305,25045.376442,17515.04
11.8,0.01,0.015,2.2,14706210.0,-2.369652,24922.431146,17732.23
11.8,0.01,0.015,2.4,14305780.0,-2.352166,25169.555331,17272.42
11.8,0.01,0.015,2.4,14496720.0,-2.360435,25050.005195,17487.76
11.8,0.01,0.015,2.4,14683370.0,-2.368757,24927.260027,17704.49
11.8,0.01,0.015,2.4,14865740.0,-2.377127,24801.403556,17921.56
11.8,0.01,0.015,2.6,14374050.0,-2.355467,25066.99098,17326.08
11.8,0.01,0.015,2.6,14559280.0,-2.363598,24946.184697,17536.0
11.8,0.01,0.015,2.6,14740050.0,-2.371763,24823.066061,17746.62
11.8,0.01,0.015,2.8,14287410.0,-2.352197,25064.842844,17213.06
11.8,0.01,0.015,2.8,14471030.0,-2.360179,24945.572423,17418.09
11.8,0.01,0.015,2.8,14650610.0,-2.368208,24823.285492,17623.81
11.8,0.01,0.015,3.0,14367180.0,-2.355849,24964.76695,17282.02
11.8,0.01,0.015,3.0,14546010.0,-2.363744,24844.273987,17483.45
11.8,0.01,0.02,1.0,14203390.0,-2.346076,25463.647696,17229.54
11.8,0.01,0.02,1.0,14412180.0,-2.354851,25346.758996,17464.58
11.8,0.01,0.02,1.0,14616520.0,-2.3637,25225.939098,17701.21
11.8,0.01,0.02,1.0,14815900.0,-2.372611,25101.592443,17939.22
11.8,0.01,0.02,1.0,15010200.0,-2.381559,24974.674563,18178.08
11.8,0.01,0.02,1.0,15199980.0,-2.390575,24843.994012,18418.18
11.8,0.01,0.02,1.2,14244430.0,-2.347578,25451.871778,17277.5
11.8,0.01,0.02,1.2,14453600.0,-2.3564,25334.084427,17514.37
11.8,0.01,0.02,1.2,14657890.0,-2.365297,25212.36481,17752.46
11.8,0.01,0.02,1.2,14857060.0,-2.374243,25087.961579,17991.93
11.8,0.01,0.02,1.2,15051400.0,-2.383241,24960.014922,18232.28
11.8,0.01,0.02,1.2,15241330.0,-2.392309,24828.241631,18473.92
11.8,0.01,0.02,1.4,14247440.0,-2.347628,25460.967746,17284.87
11.8,0.01,0.02,1.4,14457070.0,-2.356482,25342.839531,17522.35
11.8,0.01,0.02,1.4,14661380.0,-2.365374,25222.162028,17761.0
11.8,0.01,0.02,1.4,14860970.0,-2.374334,25097.661922,18001.03
11.8,0.01,0.02,1.4,15056090.0,-2.383364,24969.354806,18242.43
11.8,0.01,0.02,1.4,15246390.0,-2.392455,24837.909232,18485.21
11.8,0.01,0.02,1.6,14246190.0,-2.347593,25469.45287,17286.06
11.8,0.01,0.02,1.6,14456160.0,-2.356455,25352.592699,17524.58
11.8,0.01,0.02,1.6,14661540.0,-2.365387,25231.353458,17764.35
11.8,0.01,0.02,1.6,14862390.0,-2.374394,25106.275698,18005.79
11.8,0.01,0.02,1.6,15058060.0,-2.38345,24977.831571,18248.16
11.8,0.01,0.02,1.6,15248700.0,-2.392548,24846.849366,18491.57
11.8,0.01,0.02,1.8,14325100.0,-2.350889,25434.722921,17378.57
11.8,0.01,0.02,1.8,14534160.0,-2.3598,25315.746164,17618.56
11.8,0.01,0.02,1.8,14738370.0,-2.368781,25193.301929,17859.94
11.8,0.01,0.02,1.8,14937720.0,-2.37782,25067.125265,18102.45
11.8,0.01,0.02,1.8,15132130.0,-2.38692,24937.409664,18346.12
11.8,0.01,0.02,1.8,15321590.0,-2.396064,24805.043128,18590.9
11.8,0.01,0.02,2.0,14356620.0,-2.35231,25420.904335,17419.25
11.8,0.01,0.02,2.0,14565730.0,-2.36127,25301.228518,17660.46
11.8,0.01,0.02,2.0,14769410.0,-2.370272,25178.274614,17902.59
11.8,0.01,0.02,2.0,14968320.0,-2.379334,25051.550894,18145.85
11.8,0.01,0.02,2.0,15162320.0,-2.388458,24921.248904,18390.33
11.8,0.01,0.02,2.2,14368270.0,-2.352731,25421.983144,17434.9
11.8,0.01,0.02,2.2,14577780.0,-2.361716,25301.863505,17676.91
11.8,0.01,0.02,2.2,14781810.0,-2.370744,25178.618539,17920.42
11.8,0.01,0.02,2.2,14980890.0,-2.379826,25051.624127,18164.45
11.8,0.01,0.02,2.2,15175050.0,-2.388967,24921.654175,18409.96
11.8,0.01,0.02,2.4,14221920.0,-2.346536,25502.949062,17268.09
11.8,0.01,0.02,2.4,14434440.0,-2.355465,25384.937553,17508.46
11.8,0.01,0.02,2.4,14641320.0,-2.364422,25264.869617,17750.02
11.8,0.01,0.02,2.4,14843300.0,-2.373436,25141.172467,17992.8
11.8,0.01,0.02,2.4,15041030.0,-2.382538,25013.58326,18237.59
11.8,0.01,0.02,2.4,15234170.0,-2.39171,24882.279028,18483.87
11.8,0.01,0.02,2.6,14194050.0,-2.346045,25442.774447,17217.05
11.8,0.01,0.02,2.6,14401650.0,-2.354767,25325.298601,17449.98
11.8,0.01,0.02,2.6,14604080.0,-2.363523,25205.028231,17684.22
11.8,0.01,0.02,2.6,14801730.0,-2.372344,25081.593446,17919.69
11.8,0.01,0.02,2.6,14995080.0,-2.381234,24954.237336,18156.47
11.8,0.01,0.02,2.6,15183890.0,-2.390194,24823.670527,18394.9
11.8,0.01,0.02,2.8,14361570.0,-2.353549,25279.216564,17381.31
11.8,0.01,0.02,2.8,14560420.0,-2.362146,25159.236276,17609.22
11.8,0.01,0.02,2.8,14754670.0,-2.370794,25035.969021,17838.14
11.8,0.01,0.02,2.8,14944440.0,-2.379498,24909.1853,18068.0
11.8,0.01,0.02,3.0,14353530.0,-2.353759,25215.524817,17352.51
11.8,0.01,0.02,3.0,14548080.0,-2.362199,25095.668166,17574.71
11.8,0.01,0.02,3.0,14738140.0,-2.370687,24972.350152,17797.6
11.8,0.01,0.02,3.0,14923970.0,-2.37923,24845.668958,18021.45
11.8,0.01,0.025,1.0,14205510.0,-2.344145,25701.304691,17298.27
11.8,0.01,0.025,1.0,14432210.0,-2.353517,25585.658231,17556.55
11.8,0.01,0.025,1.0,14653550.0,-2.362973,25466.390861,17816.97
11.8,0.01,0.025,1.0,14869470.0,-2.372497,25342.882676,18078.94
11.8,0.01,0.025,1.0,15079930.0,-2.382088,25215.534494,18342.55
11.8,0.01,0.025,1.0,15284790.0,-2.391725,25085.521987,18607.64
11.8,0.01,0.025,1.0,15484840.0,-2.401451,24951.202365,18874.67
11.8,0.01,0.025,1.0,15680460.0,-2.411281,24811.743745,19143.51
11.8,0.01,0.025,1.2,14270620.0,-2.346676,25680.981391,17376.38
11.8,0.01,0.025,1.2,14496590.0,-2.356108,25564.658497,17636.53
