mass,z,fov,mlt,age,log_k,teff,lum
11.2,0.01,0.015,3.0,15105940.0,-2.338358,24640.511857,14279.25
11.2,0.01,0.015,3.0,15310370.0,-2.345909,24530.749823,14447.35
11.2,0.01,0.015,3.0,15509870.0,-2.353489,24418.601718,14615.93
11.2,0.01,0.015,3.0,15704690.0,-2.361093,24304.160473,14784.86
11.2,0.01,0.02,1.0,14591360.0,-2.317593,25241.984929,13967.66
11.2,0.01,0.02,1.0,14839580.0,-2.325994,25139.89515,14163.65
11.2,0.01,0.02,1.0,15081640.0,-2.334436,25035.178272,14360.96
11.2,0.01,0.02,1.0,15317910.0,-2.342922,24927.436215,14559.42
11.2,0.01,0.02,1.0,15548850.0,-2.351463,24816.10519,14759.05
11.2,0.01,0.02,1.0,15774230.0,-2.360055,24701.920717,14960.0
11.2,0.01,0.02,1.0,15994220.0,-2.368702,24584.301818,15162.03
11.2,0.01,0.02,1.0,16209050.0,-2.377412,24463.388851,15365.43
11.2,0.01,0.02,1.0,16418700.0,-2.386166,24338.988098,15569.36
11.2,0.01,0.02,1.2,14548480.0,-2.316102,25268.400695,13937.18
11.2,0.01,0.02,1.2,14798420.0,-2.324513,25167.542939,14133.86
11.2,0.01,0.02,1.2,15042780.0,-2.332984,25063.045709,14331.95
11.2,0.01,0.02,1.2,15281360.0,-2.341504,24955.75182,14531.51
11.2,0.01,0.02,1.2,15514210.0,-2.350074,24845.097907,14732.18
11.2,0.01,0.02,1.2,15741600.0,-2.3587,24731.257372,14934.22
11.2,0.01,0.02,1.2,15963520.0,-2.367372,24613.894232,15137.06
11.2,0.01,0.02,1.2,16179940.0,-2.376095,24493.172949,15340.83
11.2,0.01,0.02,1.2,16390750.0,-2.384859,24369.869632,15545.65
11.2,0.01,0.02,1.4,14520870.0,-2.315211,25288.370043,13920.17
11.2,0.01,0.02,1.4,14772670.0,-2.323649,25187.311942,14117.47
11.2,0.01,0.02,1.4,15018360.0,-2.33214,25083.023456,14316.18
11.2,0.01,0.02,1.4,15257770.0,-2.340663,24976.335516,14516.03
11.2,0.01,0.02,1.4,15491560.0,-2.349212,24866.182164,14717.13
11.2,0.01,0.02,1.4,15720030.0,-2.357847,24752.784405,14919.63
11.2,0.01,0.02,1.4,15943110.0,-2.366538,24635.959868,15123.29
